name,place_id,opening_hours,photos,rating,user_ratings_total,geometry,price_level,types,price_range
Nimboo,ChIJ6RkX3pEZ6zkRk3eLvogJ-Iw,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114896805327734191057"">__Bijaya Thapa</a>'], 'photo_reference': 'AeeoHcI-9xvH61UYtOS-ybMMbMX4SSFoNPV2bZw7U24z0D_cgIEYu3-gDvELOLs8VoTOeJ2KJVyGbRkKEWKEjiiYcPA3SEMXYnHFJIQrF3a1b8KdUjkBlinBGBc4wR2NmvSQzfVYS8lXOU8FDj3lBQIY7MTT6DryIPB2W6UD6OGGvGdcq2K7WUY4LSGtj68odFr8dhUNaPgVg0SfD3V9fZQm1StobI-o6SKo2ITauor_u1szmZYXct08PHCKLqc7JnXKfwiu4x1kxcgpQvE52-ZWFBmHYaGvqjKsbljjWfy9es_CNICuC0MS7mI_DwbRWzcYLKibwcoyM5ubbBrybF8s9BqhUJTRQhpRnxOreZnSql_Re0TdEq52dvCXYm9fI_VSDhvfnG6G6gbFiY8J2cLY9Y9YAFOZlQThJsMr6d4tken99NPq4fzeG3IK5mDHqSmUPpBmoVOkCxskTE4V4m9Tr_uxemNOYVqa1yiCH608s_xmREsIaHt6CtcRcPcis2U3lQ0PtSZ9_83YLiX4Ko-rpjU-aYkhmryj2PACPKrTs0IHl1wsBxJ0zSTPIapyg6p6Uxmy_J-r49AjVFNy1rzSk7cgDCilvAHLxojmxax_immtxvxtWkVkwhfAC_JXje2j', 'width': 1920}]",4.4,204.0,"{'location': {'lat': 27.7164666, 'lng': 85.3347211}, 'viewport': {'northeast': {'lat': 27.7178693802915, 'lng': 85.3360955802915}, 'southwest': {'lat': 27.7151714197085, 'lng': 85.33339761970849}}}",,"['coffee', 'momo', 'burger', 'pizza', 'newari']",Mid (Rs. 301–700)
Wonder hospitality Pvt ltd,ChIJA8eRD2UZ6zkRs1BxB60zgDM,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101762588685996467145"">Wonder hospitality Pvt ltd</a>'], 'photo_reference': 'AeeoHcJJwxOeR_WuDDv9_yb4vm3zoOd__h6Enu4M0N8eHa-S9IAvlSBHvcehepYCe50FPGOzpisKj71QxLO0ntfTS4ArQeQZIaACwK5P5hPF11G3aRwByyUi9sdjhDa8gCW_EHdsgvUIpYj2wnwM58wTwRR6LByZ0k6N9hEB3bIVzTVv5Zx31_8Nc1L_3NIQUnzVrrce4qV7MHxJcYVl1I2vUh3-igFDGUb4M9Vl8FsJxjkqdPAH9flq4nHlhcvT1FxPvpLelguniTmHlWOKTc5uUTdqIf9k_9-Cd8nJ87xojuALMuzC0lIxOfE-RBa7lN5Bh-KHfU5D_PY', 'width': 4272}]",,,"{'location': {'lat': 27.7165523, 'lng': 85.3348541}, 'viewport': {'northeast': {'lat': 27.7179230302915, 'lng': 85.3362133302915}, 'southwest': {'lat': 27.7152250697085, 'lng': 85.3335153697085}}}",,"['indian', 'thakali', 'momo', 'burger', 'pizza', 'newari', 'sekuwa', 'noodles']",Mid (Rs. 301–700)
Lasa Kusa Newa Bhutu,ChIJSzyZzZ0Z6zkRnQwk3yEkHB4,{'open_now': False},"[{'height': 8064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117268888897974896989"">Ashish Manandhar</a>'], 'photo_reference': 'AeeoHcIhhB2BxKi5PeZeTyaXqWZ12lMdqGekQdNVts3A9uvA5lVL4RwGLumZt9RLp4KdwtoFm1a9AMEX4hGKUm9nojw4ESJgVLy_cib0zUNIztwZXUxcIWhYK-jw_vg3AD1buWK33vHOm9n1xIbZeP9GklLgcbk-ey7yK6JfPxmDrx1BfTO57fRs1wuwOLuSW-RNpKnbdYg1NQZ7VGt9hy-QpIFuo5OvxqPvaAqwkh31FAd2SE7DQbZrVohOMemLwGVW3wgWl-dxQX9X8MaIoUssnZrXcqy6vYTQKdsK1fU-tiS2owccgjUUaPkSvN53_SaHn_jOSXrVNsz83EgzayZK6uMW-13DSh_uy_w862y3DD-87uDVY46YxynSEC5pjHi2g9qjk-Sz-As7ONulc9DG6oeGB0Drei7SwWR5qIK7GKzzSni5a9lqp9iIFwIFfFet9xGpc2qsBLN8QwJ7z71XafWj7S0zzTHYVfzCYFJy6NFviXMywTSIisEs2wzKihvVN4Ro_8djeyusdBNsAxAnoHcZZQ4rBS7vXhSI9my4-MFBSdaPf4d9Azft-tVZtdLefXGSAYLFObcPqUpqPk77nMxrFtkS-XmEbs2xJVKxaPCryckLRcVmPDcWfi_N2MegzetWpQ', 'width': 6048}]",4.9,17.0,"{'location': {'lat': 27.7165547, 'lng': 85.3346601}, 'viewport': {'northeast': {'lat': 27.7179265302915, 'lng': 85.3360199302915}, 'southwest': {'lat': 27.7152285697085, 'lng': 85.33332196970849}}}",,[],Mid (Rs. 301–700)
Dhaulagiri Coffee,ChIJmSslFnsZ6zkRJGJug5WhnOM,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109730321580615503607"">Aashish Acharya</a>'], 'photo_reference': 'AeeoHcJUeZNp6i9r7YCmjqx-upQXAXPGwj8z4eoHHAL4UjWlb0IxQv11A1h-zKeNHLezp-t4YCRBGidALxOPVslsHnmpFs9I6xxs5iUNcaplUuGsnhuw7goHzTTncfVmUGdmsQKAwmdoMmZOa1PjsRd1Yq-ca4K8a-61YmtdE9CfQUArmYfeA3rme2ArYIa87rEYr0hv0OZCwiPbaxXuFXMPIm6wjUL5EGDa_bCBFZCOaSePqX1osAztxniRu910s_4Gqu-KARBB9kVUH7jFXjktClQpABshfeGlwyLnSNppLhvhaWH4umEyjuRFcdzZpC-ivQ6xfgGlEA3TPlUroxWBeB2AgCcAHup0cb2aungpAMAQFP48BSY_jJiXt63sUMMPNvvL0jtoZBPbb-a0hiuVahcQeGVSyZfTHlAq6a2g-MeJzpqxGDbTs0S1whSo_PW6c8awI9ri9Z24JnesFbNRzUfSKJ8yn6Y2Ale58GBBTrU1fBDsYvMl_xiFAZeN9JPnXLojTLUv_aY3F9YclubDT4r-CcucHL0h76pAiKbYO9QwVMbzzS-NEogwIxZyPDPJqw44-2gr9AGs1FVcIBmmIDxRc4uWJxOYMRkDTdG65JZVUKwaxJ1iV_PGxc0_hqs4YHY1NR6O', 'width': 3264}]",4.5,2.0,"{'location': {'lat': 27.7165805, 'lng': 85.33477350000001}, 'viewport': {'northeast': {'lat': 27.7179527302915, 'lng': 85.3361334302915}, 'southwest': {'lat': 27.7152547697085, 'lng': 85.33343546970849}}}",,"['indian', 'coffee', 'thakali', 'sekuwa', 'pizza']",Mid (Rs. 301–700)
Dimaya cafe & Restaurant,ChIJNakIx4gZ6zkRZ_-7Uygk2Fc,{'open_now': True},,,,"{'location': {'lat': 27.7165341, 'lng': 85.3357626}, 'viewport': {'northeast': {'lat': 27.7178821302915, 'lng': 85.3371150802915}, 'southwest': {'lat': 27.71518416970849, 'lng': 85.33441711970849}}}",,"['coffee', 'thakali', 'momo', 'pizza', 'newari']",Mid (Rs. 301–700)
Burger World,ChIJMbrKAf8Z6zkR7GuN8imTsFM,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111753395506916939290"">Raju Gurung</a>'], 'photo_reference': 'AeeoHcJZxRQVNnjTUtJYhNpTmHQsrQ7FIsHjwLLHKMYUeot2P3oMiVwaZGwO9pTejFE9TutpUdSA2hqdx1Bv1CjgzWwUZ1PDFgaIhsx3jHBs0nnZp8iLuXR330X7i1lVAmQa4d6oRmQveoS9JARkIVsFpsOuHhGOTCiOME_j5UB1mssVpDuwz0VPaQxiGOFqlglouKnbRR8sybZVU85iDYk8kTxOHMR0vOGo7u6B0pLgROvc16Lih3gV5_wIKv0QGo9cpLvJFgh0NO96qkg6HU8IvMfMbd--2HHzEiAqbo0cXOGjhbfZowsvmklzftMnko-zHk83QUC3K7qRJER_vNJnb-gQxhcsGvFcFaAp7omgmAEwLL7OSUDZmrhCdMTq8PrdlUzBYMsguFAF5vTfGS26lUvWfv673_Um_cZhawBz4KnXIupkYtD_M8fFQxe1nXv5tJ3CxyLPh_n8_SgOBTGK9bNgHJkidiNBJBF0iaMMqSI9cFG2LKfUlmSaeHQzihmcYsD01DwH_m-g--mqKck-wsH-swOvt-NWxCEh0uhvlLSQ8bnx4h7rcrgGjr-sdAAihef14nn2wfgHOT4glLpde-NMSh4cdF8OZOz1uyEdO5SY7sH8_SCr01HyA77J7k5-qcuQyQ', 'width': 720}]",5.0,7.0,"{'location': {'lat': 27.7162373, 'lng': 85.33370959999999}, 'viewport': {'northeast': {'lat': 27.7176013302915, 'lng': 85.3350652802915}, 'southwest': {'lat': 27.7149033697085, 'lng': 85.33236731970848}}}",,['burger'],Mid (Rs. 301–700)
Tfc cafe,ChIJaXufi5EZ6zkR_6lAywnxSYg,,,,,"{'location': {'lat': 27.7167291, 'lng': 85.3357475}, 'viewport': {'northeast': {'lat': 27.7180583302915, 'lng': 85.3371553802915}, 'southwest': {'lat': 27.7153603697085, 'lng': 85.33445741970849}}}",,"['thakali', 'coffee', 'newari', 'sekuwa']",Mid (Rs. 301–700)
Timur thakali eating zone,ChIJlfpwHgAZ6zkRFgM-uMqY2po,{'open_now': True},,,,"{'location': {'lat': 27.713495, 'lng': 85.3337318}, 'viewport': {'northeast': {'lat': 27.71495423029151, 'lng': 85.3350660302915}, 'southwest': {'lat': 27.7122562697085, 'lng': 85.3323680697085}}}",,"['thakali', 'coffee', 'momo', 'noodles']",Mid (Rs. 301–700)
Gahanapokhari Panipuri and Chatpate house,ChIJG05AXFUZ6zkR69fY55SqaLc,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103115700728021820611"">Sabindra Thapa</a>'], 'photo_reference': 'AeeoHcJ-Jf8oy7Rhcs-UhJmyWCZ0QvPeNjd4IR0rQNiOMlclvTDyFI3yPTo3WsygHv4_cq7ydcrv951q1gS-RvhZVydV34KQBgl7oJyWD1t6Zb-axfrhnW5CvjMMYIozMqeThjutLWuLnDTKshiwMB2d8Cxrd0-cQ1iuVA58axwSk753XlpRV0uIrSUQf65zwcZtcUiMLruseqblk-Z4rANea71gLk7-Pq4jkgQ9GT-pGok19tEI2zxzqZI9sk3fSRNA0XSuTeVO0QLQWHR3H0Ko0iCPQfIttlVyuWLf2tAIngLCzeRXfw6bselB5FUv4VyKBA7tQ2kB0vFYUZ4VSfJWpj1J3K_MMUDYOa99l4UnJVXrExus-XO2P3rhn-mxT4ZzKCMlpyh1_UMr7ZJffxkPGcoiM_4OLzEMQwqMT0DX7gbqvHCRvRUm6zWT19L6rgDzu00H5ar-uJUHrRrHzywsUuR4TxE26bf9W3-0qwwl1GGkl4CfNhyRZGxd8JRwZ-uvTIAU34OgE4vmO86omk48HqpmvBDnIwmXsY0ATFWyjBucGM79kc9TxGVtwc16f9Q9dVb8hm5p0pbTC4i3IX-Y9A7-NI7pzeG4u3E2Th1wIM8tIkgRRFy8mHPjTjRzFigBFa-nvw', 'width': 768}]",4.0,1.0,"{'location': {'lat': 27.7168217, 'lng': 85.3338052}, 'viewport': {'northeast': {'lat': 27.7182031802915, 'lng': 85.33516583029152}, 'southwest': {'lat': 27.7155052197085, 'lng': 85.3324678697085}}}",,"['indian', 'coffee', 'thakali', 'momo', 'sekuwa', 'pizza', 'burger', 'newari', 'noodles']",Mid (Rs. 301–700)
Lavish by Akash lounge bar,ChIJk2Uo6XwZ6zkRObln8XqXEfA,{'open_now': True},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100612123488897045106"">Pankaj KC</a>'], 'photo_reference': 'AeeoHcK4utJcueguu3DAnl_Exqm0ci7bAjH2RYmiTvz8cEbx8h0atYHMV9qADLeDWclbk8LDh0jUXf11H9Den9LSyqLYhaG5lnl3InZdBM-DlT37EL1j-f341DgyecyfZJLxwuiArXSCG5FwPn_dhWhc5hvPdFVbpY6GRfVhjf1ozTAIEUfV-EDvY85uvSPAXVbY6Odj9sjRm5LmcOZBsYZT_UNoIafMwfshZEY93KXMKcAIeJfh31nsIMcTL7tZqMltDbvnRnPeZ8Bzcc6E1n9_fzJ33oQgyFJn_OHHrkWRY5tFE8JgIYvATVWjPIIGL0jMka-zJKj9_Vvadp2P2Yqo34_l-iScBPqm5LImEoQNHVxJ9-y2eHMYwMzaw0q4HkVEfkOay9jPzhQAhzkhX6Me9rZIEBVWdGmC602vreOf0bwnC48nrK-s_JE52XyiwbrIKNcWaTnrSseY4dgObd1nKlhtMRrtNWdG2funBoub_Sfo2G6xYAsO7S4EqaR750ymTUWDUfNW9Um67L8yxxrkqigFZmIQdDXshuqLm2Wtfv4Zhsn0KdlD9wrDlHzQmEknTWtMIyNjNG09VAqMhD01frSvmMhDr3l0u2wAzGmPLzM47TtORkdVPCIIUZUiWisiG2Q7tA', 'width': 8000}]",3.9,29.0,"{'location': {'lat': 27.7170068, 'lng': 85.3341526}, 'viewport': {'northeast': {'lat': 27.7183259802915, 'lng': 85.33552588029151}, 'southwest': {'lat': 27.7156280197085, 'lng': 85.33282791970849}}}",,[],Mid (Rs. 301–700)
Nepali Restaurant and Khaja Ghar,ChIJb_MSXhUZ6zkRIjecuIzg3sA,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103115700728021820611"">Sabindra Thapa</a>'], 'photo_reference': 'AeeoHcIMVtWzmqLvSM4Dy_w5McH_ep31_u9yvYTzRVRYV9xz1WsZrRC1twIXzDih38gpYU14cnf-_d2Q0VO7k-06PDXhmEHAgdyCJ6ptwaq7qwm24BhFduEQMjLAMmfs0sM5fXOFIJaPehcXHX9f_DWy0KlAQeUW6tM3SXJt-_YkN0VjE1SCji3ILHZAHo1p0hUoBOQfo9FpA-lc148BMVHnl8fskRJRtFavejf20nNKIgZfSgcOelwu4YuSPvX2Ng8GU86MG_P5Ed6ljfMiEXMpHmF2ihkRvnmvRxsLZT_m1wRpCHkbW4solFELpzZuaRFdCezf1UcbxC8EuSfrapg5VweGAdSQ8gT7f-q-yGz2H3pIFct3-C7B9lyyDZ7xKcT0G8vcINRRMcXbCQp0m8tXxhwfklALmhTmu6Kl3yzlvXylibfSa_CNjerk8zI6uGByG3JllZxTRKzogVJWdJVfG1eK9Z128gqjN8CjFuXbdgxSgpeZfIXhDGSMoFib0z6ovI6zCZ6Myf2vm2pjthqzV-pt3DGBTdwuac1GK9YHOPizaZrBuEZsPpgPHXh1THA0MbuyVV2f_SE8NDk4KSxdXh8JXY-2ukHDBP7LbN3Map33uZeRxJ55KKcowJ0dl_iEnohT0g', 'width': 4032}]",4.4,5.0,"{'location': {'lat': 27.7168404, 'lng': 85.3337241}, 'viewport': {'northeast': {'lat': 27.7182237302915, 'lng': 85.3350853802915}, 'southwest': {'lat': 27.7155257697085, 'lng': 85.3323874197085}}}",,"['indian', 'coffee', 'noodles', 'sekuwa']",Mid (Rs. 301–700)
K.M Chinese Stick Food,ChIJs0ztHgAZ6zkRnNq85XmgNgg,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117613226220220597642"">Bishwa Rai</a>'], 'photo_reference': 'AeeoHcLc270OsDrOjvLWBoEz2L12RxIyXyb7K-q3In-3Ejgq4yyY4G-gyyIUxOpXYSe6z1sgpP6eS2zksic4kJrXtyJx3HW44KLsQx5AXfS7lIlWsu19scqCns6qUNuKT34B0gMoBLZDTBlCPdQsrV3zxXVI_7iI-qlu4-VnROpCms_kqmAHiRbM868MaNj7oG4S4xwWEYm9x7jnUjuNiEOuO_W48dL1kg75uY6TgA7yWfu7FCJyidYkx_EHEDjiHzQ84v34_iV1INc3Av2Xpfo_EmajD2M0zyuz1VYJrZ2i0sI3fX7PiMEouZj25t9PbUlYlSs-0YhA-SW6oWfs8z09w-hl3OewJa7UHx1RCAYCTthV2cIYY377v84GB6409V-A255EXHOTqvW3jZuvAG-ftXQTT_UGMUbbAe3ugcsVE4EM1KG9O1M1YF1H_Pnoygb_-aVAn3tg8x8_b6HeBT-p45cJhpv57O6oBsoItKeoPT1wSsXtW7uLY9QnIsTkN6ehgwOoXqpyIVWIrqeOZdX85mN6_-unGGxqrE5f44-UUUuUs2uZfpDRunhxAPfUJWw7LwdYNc-i0O5T8vgKcUQIwSZxK8M6ttcAv4Bqgja-tJvmYaVv9U6t3jENChKRgGPvbDjt-vZLBcZ70979wFstv3iVGMc', 'width': 3264}]",5.0,1.0,"{'location': {'lat': 27.7141875, 'lng': 85.3373251}, 'viewport': {'northeast': {'lat': 27.7155329302915, 'lng': 85.3386853802915}, 'southwest': {'lat': 27.7128349697085, 'lng': 85.33598741970849}}}",,"['indian', 'coffee', 'momo', 'sekuwa', 'newari']",Mid (Rs. 301–700)
Furfurinagar Chatpate & Panipuri House,ChIJrQuulEwZ6zkR7xFcByYJPqM,,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103115700728021820611"">Sabindra Thapa</a>'], 'photo_reference': 'AeeoHcLng-WyStzOrY3jSUFsJzkQlW-YVK9MQmXNBX0y5yCRr0p96cKhol-u-kXiPz02p9Xr3CdBcL2lIPKZlASEavx3gBUnSE6YCvV4rH6CYNrNMv-xWawM5QWqvOQqzW0yhAK2WcW3nSl-H4JVnWK_xbMiiPEqNMrzlY4Hm5kC95w4SVlZWHVjlT-uqhXXKnvuG5Mra5r8S2nV1etWGXyZCaTCiaIF31LOvzjGWKLw3l-rrCqfw8ykGWyOtSX1Tu8tss3Uhy0AKX0sHVJUGWWueqRdALVyFhuXzDKnmupaOMEfULJw5mkICWuO6P359UjAcN_Lpi4tU96FqTC1U1X64YwidHMFBdg8Cyeu1c4HUa8k1z1g7VunZnvfWD3-tCAAbhRLBa1fN6JN2Ej2guEDTECVSkJigorJyp9q5SvE_ldEZuI_tulMebxzsCU6oiFvMOeQyUEgSHg42KefiUIUH6nzd-Uc17iRBaDZ-i0bKIZNP4pDKSfAmUAKNZohtZm42wfWiI_M6n9szd1SO4nSvWzJZ1QLPXYAQ61sEmAiywR1Vic84F3Q3NWw7VyXCoNza7LN_QQNcQuQ32FR_pekY0WzlkTRYKIHTc-9xXYvUQpSr5g53bVRTLq5Lct9nicY', 'width': 3472}]",5.0,1.0,"{'location': {'lat': 27.7168808, 'lng': 85.3336339}, 'viewport': {'northeast': {'lat': 27.7182547802915, 'lng': 85.33499183029151}, 'southwest': {'lat': 27.7155568197085, 'lng': 85.3322938697085}}}",,"['indian', 'thakali', 'momo', 'burger', 'newari', 'noodles']",Mid (Rs. 301–700)
Panchthar Khaja Ghar,ChIJu8EgpHMZ6zkRBySc3Ko1NmA,,,2.0,3.0,"{'location': {'lat': 27.7138417, 'lng': 85.33721949999999}, 'viewport': {'northeast': {'lat': 27.7151874302915, 'lng': 85.3385733302915}, 'southwest': {'lat': 27.7124894697085, 'lng': 85.33587536970849}}}",,[],Mid (Rs. 301–700)
Sharmila Multi Mart,ChIJL-OmM3sZ6zkRSZ59Wgtqjmo,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115098201238248202164"">Barun Gautam</a>'], 'photo_reference': 'AeeoHcLCkhhb5vIFrh9jc3_yjw5uh28STSbZBneRBlnZY8s396iJ0x0FtpTSmyq4JhWO9bHndYuX3Fin7OI_ItjUDbdk7HwMA9ZfBwI6ngUtxDckhLdYFDXOq8O03tO2swA7K3d5lBcYE9HnsLW7o5x17vP-mZzZ7_h8jCBP5__lkmtiSZT0LISgUtLoo4bk6lZ243p68Rts8IrFK-xQJwim-RgW-SHf5GCs5SAk7Yb1lsaVF0rx6SK3b9vQUKAewKs3ZWEdWBVWMz18IX_-S2U5VmBiExt5_nSFf_zt5zw_uRmsyHbCkaEQAwIjv6CixWFnzURjGqYZIft45EzEVggy-g1u9JHsYhyWQff7QvGNVH83wJkZPTL419HBs2xApC5ITf9jztvS3Q7hJfG2cNSWua98_rLBCXkbbQ6yW1_xyApOXAkjB7CPUM6aBe0GST5QXO8ijtzS9qgJJwyORvfV8SVOFim049-X61K_XJTa6gRhEKjEO3Vl8UvDpr0EdOm5FoEJPjxFB0DuWke1Qn2ebSkmLbK9WseSAQy0eWdKGqViRZRl7vG04GQAiZQhWp4tsH2IjbdMYdtrDAUWYRvC6lvX1mgVTUAdHx_BB7Mls94OcDNiuKw_h8sbIGtYsXd4', 'width': 4000}]",4.0,1.0,"{'location': {'lat': 27.7169922, 'lng': 85.3335926}, 'viewport': {'northeast': {'lat': 27.7183355802915, 'lng': 85.3349395302915}, 'southwest': {'lat': 27.7156376197085, 'lng': 85.33224156970849}}}",,"['thakali', 'coffee', 'sekuwa']",Mid (Rs. 301–700)
Shrestha Shandaar momo,ChIJ90z-LRcZ6zkRZkpyguWw4Aw,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105768479731597216008"">Jaikish Shrestha</a>'], 'photo_reference': 'AeeoHcKgmZsaz5qfvLBOx66jGS1reNAJTztOfMcE8Mfy-pJWrPJ8CUyuyfSVsUAmljQ_01I5aDimqKILUf_bsn7UxyW_ZlMi2q_ie_HFVynlKvXnh7ziHJP9x_G1jmGoEJcKvg54BH0LV8wcxWsN__FV10Ai7asCGviDzxaz-boU2EOz-SIP9h4UkHe4muSTKtPtZ8B4-dM8s3x2hwRrctqcM5Sn-NLpcJDVGquOVQsUgMDo6oO0Untgss9oj8_UowWLPi76-6KrXC8g0qoLhFiGAzz9-91caNWKY8sWajcmsrpuT2VG2Wxfo8NUbjDhM7cQqBl5aq2S7BobgVCsSX08uLjwWPGgPHBriPxCH9bj58EyOwLWdGch_508TPGlEsJVMbp-JHCvl8MeqhNiMJGwT77bTDOaCGuK4ZVS_xyQRiD0sulTw9Yt1DVVSoBVf4VrqdytmSeOIwQhmc4x3I_7Vc8iU3cwRHamBEhmRtnPp41hmTVRf64ma70zFMKHPD5453TpYK4uV1ACJ6QEF_QrV6U69j6DCfVmQF0ObogRmJdj0-71Qm08GeFFKXcfcAXebE_LbMbq6BA1MqdRQus3WEZjvLsyRx1R38KVVPS0VL7aM62CgS9EVP2syBorlbUn_ym0NA', 'width': 3008}]",4.7,18.0,"{'location': {'lat': 27.7124603, 'lng': 85.33489519999999}, 'viewport': {'northeast': {'lat': 27.71380553029151, 'lng': 85.3362429802915}, 'southwest': {'lat': 27.7111075697085, 'lng': 85.3335450197085}}}",,"['indian', 'thakali', 'momo', 'noodles']",Mid (Rs. 301–700)
Turning Newari Khaja Ghar,ChIJy8UYUnMZ6zkR7wid2V29Lag,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101476121244498532686"">Kabiraj Pudasaini</a>'], 'photo_reference': 'AeeoHcLT9VE60CVW9ruzJdEzG5Euz3dU4_exYSCZHnDYuRAmQTQMgRd-P7X-XV7oSRhGDtyhXSChSEqhHp9bzSWjWBZFTYhWAJueUo85l8xFW8ywvPGBBLiTSuF0arwrwO7UaBv_0ShTF8q1OBhybyMVR1BuUnmwCaEhOiyk6SsFo3_MsprG97BaO7EVo5fTZDKZjEerzFo3JBRGR62r4Jo8VobfXRFW5CnWvCprWxYUNvS3vzlk0MzF795a_ZiwhqctVNuSSJik567nm1dUdJFI42UoTKxAWhOxx9Xsxw_ZDyU8UCmbYGsyk1AnbpBKVzyXUrABDBlsFvy21_AfHObp9tILXMIoWCYCNXMWmHwe2aVTQtE5DkHCmkL1zvAKGlqetAO7EOZow8i1VVWx3ZpkGvi7qC7FYYvhWS8KUSBnEcscBkwDKK9a1EsAzeaZdlXTo4T9fw0Hh79IMJkxk5sznatJtfM9ijjZy2azP7-tJOCRCcZz3kiktxu2TZNsUDBXiU8Kj29v9aR7CEHul79iVgH2B5t9c4DFLTXpVITBZkTtNKwUosc2jr3lfZhLtT3XQED3whtRwWt7oxznafWM1b8Uf2WJlgL6vqqgK5IyQUCs3iUMBQwS6YJayuWx-ICEqaARIiwa', 'width': 3072}]",4.1,87.0,"{'location': {'lat': 27.7124466, 'lng': 85.3346392}, 'viewport': {'northeast': {'lat': 27.7138177302915, 'lng': 85.33599788029149}, 'southwest': {'lat': 27.7111197697085, 'lng': 85.33329991970848}}}",,"['indian', 'newari', 'momo', 'burger']",Mid (Rs. 301–700)
Daura Sekuwa & Restro,ChIJpT3j6dgZ6zkRQwwB-ZVWOSY,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111413765647316999502"">Daura Sekuwa &amp; Restro</a>'], 'photo_reference': 'AeeoHcKCkZ3fFbYypOyaeg3UhTvDU9cndyQPuNs-1KEE5br8jp3mXF9U53KNn8dDTKrMSfIsA68r7meen05sidH7FmRs_BOW9F71svyVKMWNr8QjVnJRlWu5sHa6iVKZyuO5rulnQjJnecDMBjGBaWPaZ20N5HwT4bv6eh15zkhrIIwrBkCMdNcsKBWwBOUBFz3AfaRYx7VfWaxeW5WKe5Urlwp7-Rx2ny3kwKJF9VeLbOHrBgkxYYjiu71J5nwe_dlmhM0r9V0RJ9iSDktjjYeNlJGbLf4vqtnxKuMggZsU7ImsIwJN8zFVNcO8B56i5n-0grxEViILwiAJxOOo7HuzeTsiwkjXDAofqRiDJKuWM7Kl9Lqv4NYGCKV2Fdkvkin2cJ-2eosmrARHamnGPkzOY4PY_JDQtMUGYOF06nziAYKmfweWxOzljf_jEuLLaLHNB96xJ-1Ym-DQ2gGnFhcuw3iWpxCKoRFYiC2ND2YtoLsZOuRx1XNrnKPtauxa0m-q3d2_b_E0M5g8y3CMskF9eQnFt1TgzGL8RzR1FqY8vBHK4IGfvoV1QR-FvFtaszgI7MyOR5rE4-5R0rKVvrer5ShqNHNAqkMz_7EYLxOF_VRdflBJizI2GePWur0V8sMwKX4lTLvp', 'width': 3024}]",4.1,24.0,"{'location': {'lat': 27.7124216, 'lng': 85.3357762}, 'viewport': {'northeast': {'lat': 27.7136586302915, 'lng': 85.3370876802915}, 'southwest': {'lat': 27.71096066970849, 'lng': 85.3343897197085}}}",,"['indian', 'coffee', 'thakali', 'momo', 'burger', 'sekuwa', 'newari', 'pizza', 'noodles']",Mid (Rs. 301–700)
